"","ser1","ser2","ser3","r5p1","r5p2","r5p3","r5p4","r5p5","IMP1","IMP2","IMP3","IMP4","IMP5","GMP1","GMP2","GMP3","GMP4","GMP5","INO1","INO2","INO3","INO4","INO5","GUO1","GUO2","GUO3","GUO4","GUO5","GDP1","GDP2","GDP3","GDP4","GDP5","AMP1","AMP2","AMP3","AMP4","AMP5"
"P12_1",7.24589014591368,5.72170443098498,11.4815196489664,4.11137382524803,6.40801371662384,4.45586510430316,2.19153556803336,5.0799879076083,6.86822268567685,7.5914961504131,4.87473851270415,2.37302977011818,4.6910420114204,3.89773300026797,4.05850953272438,2.79876788614977,1.36253946149288,2.85605292577566,4.43730302376821,5.36960170796751,3.69193275517412,1.80096392671018,3.78892423674224,3.63735483491691,5.25985050390935,3.62344833799362,1.69987580377589,4.17899312550288,3.36969350687567,3.36964847466834,2.39746232826602,1.18020677098804,2.41851502251821,5.02195171987737,5.57657357999615,3.45627567547844,1.69919239256424,3.51694877258689
"P12_2",7.8034452216641,5.62950627220644,11.4198380131092,3.72546180148813,6.15774263736132,3.9703132076539,1.74700644120916,4.30864111528057,6.19627990291749,7.16077319667913,4.32623562817981,1.92793919445587,4.01499774494563,3.30907746994744,3.65348571181612,2.35960269187399,1.05024704883854,2.26362584864423,3.68997311789208,4.7674235252751,3.16031014250185,1.38192791712795,3.05196062753435,3.35727255724666,5.27140653819044,3.35783862431114,1.41306611608982,3.71269076728485,2.69976914263736,2.8293465661544,1.91055897665285,0.853946326483319,1.77510704722767,4.51181401053409,5.3447188515784,3.07621772874269,1.39339844857012,3.04636880589182
"P12_3",7.50617231943152,5.78365243065755,11.0387910617792,3.75019330897377,6.45911439618701,4.34687239688474,1.85660985086364,4.74525985921333,6.19823027784383,7.42312369229234,4.70385933331876,2.04075320143993,4.44796135874274,3.18123324742726,3.56897200015894,2.46076748029483,1.05228414045947,2.36432997675024,3.8909028069274,5.0682545227136,3.43324499602214,1.47127487201388,3.3601318742864,3.39806111884746,5.53749665229183,3.68109312000702,1.48483734654819,4.12514897509257,2.59083344056085,2.74859561155958,1.9936831833893,0.858632179270722,1.84899360598634,4.73630131882861,5.74666739595311,3.53139941092347,1.514940470121,3.48664430293814
"P12_4",8.07897521298677,5.54813617544548,11.1723210572932,4.0132557473121,5.98829539084466,4.72592693320257,1.46325806458089,4.94858210477668,6.57755823758759,7.06712109112324,5.07777944808527,1.73262681646531,4.61727230642382,2.98740404614534,3.24616111853365,2.43609138018022,0.879658528722459,2.20397791802118,4.17130202465532,4.84211054959513,3.6993944113472,1.20891123644228,3.5144714582331,3.63930158688307,5.39865192549023,4.22076491615529,1.27742710074459,4.41701145595472,2.49241272822237,2.62963766343024,2.05037938323205,0.74763672612062,1.77830240483383,4.96923382193791,5.40190829781485,3.83110866164501,1.28727186597523,3.50015220197021
"P12_5",8.0244361537925,5.59832942146577,11.3726581933942,3.97187564815552,6.29373721952997,3.72827954553951,1.60853621751336,3.92170823498276,6.12446404198773,7.13570587657883,4.08288624046626,1.77508904125587,3.6825629494923,3.22998078888999,3.60024359913459,2.20666051661549,0.950921670851641,2.03005905718482,3.63234009147077,4.67792743788965,2.85609858951479,1.23897662183649,2.69391213475205,3.49692750760487,5.22245973112564,3.04694475853758,1.25634752280554,3.31417573116636,2.68923911976588,2.85285157615525,1.81610738690298,0.775591031130299,1.6053293317883,4.30890458499422,5.15862850459956,2.85672613380473,1.2610903532617,2.71173821855166
"P12_6",7.58344607873926,5.80179460435229,11.3853001769272,4.02447886924313,6.39168046090614,4.16455758167393,1.96685557444025,4.45976764608474,6.25937528233897,7.2861968748732,4.49258516661386,2.1179459018653,4.15421102526736,3.46376425762267,3.77129060546035,2.51057484537972,1.16101799630598,2.39921960806166,3.95826381042005,5.01052384879612,3.29261685308006,1.55132774040551,3.19371430997776,3.53928922839934,5.21435934785419,3.35001034908164,1.50148748961497,3.70368030826468,2.91969319325913,3.03071905700001,2.1026536760714,0.975873708504376,1.95554794520152,4.51079263420586,5.3292051513507,3.16705228207858,1.50068203900319,3.08155055494175
"P12_7",7.41388036720263,5.8743891960194,11.3786481476684,3.92476418541283,6.35446130674272,4.12177262137025,2.01361261127248,4.53663628984601,6.10765402670042,7.22831444674823,4.43789388052086,2.15366162970761,4.22921549901602,3.37916558818293,3.71616261598091,2.45674434358453,1.16756189603862,2.42679580944114,3.89837231079839,4.98478227077962,3.25444520898301,1.58221455198228,3.24230805520191,3.47032116625936,5.19746998912047,3.31956713088186,1.53341581166078,3.78177348102544,2.8173562675808,2.94040107614091,2.03632684944342,0.972922129319048,1.95813990791816,4.50328468664236,5.39316255707702,3.18149389729647,1.54413873055249,3.1891922934369
"P12_8",7.33884882449952,5.90701596972984,11.4264872631326,3.95638380952758,6.24189175946115,4.18019748235124,1.97494641169674,4.37710017171407,6.11609097449895,7.12673415748293,4.47445428466949,2.11911315891465,4.08365959467113,3.48828972921565,3.85391456121785,2.57396731042684,1.20100508447133,2.42994097153536,3.88107179276562,4.9078000979239,3.31432756027377,1.55228636106543,3.14693093354731,3.50129728807605,5.18646737823113,3.4124608566063,1.54208181255037,3.66933755603029,2.92909809492573,3.09513451162356,2.15945910563063,1.01251742118703,1.98283684137802,4.44417507046835,5.25896323440647,3.1510729260687,1.50234768623889,3.0358561852579
"P12_9",7.59529137767389,5.85352073376684,11.1163070206645,4.05238819416995,6.44625671033344,4.59397248471044,1.98754377647338,4.80239843915135,6.50364343586132,7.43202114383477,4.92605445068155,2.16842907912998,4.47499939922914,3.59739637837869,3.85781006816221,2.78213853117393,1.19804697669728,2.58226992972836,4.19954231585807,5.2309635843613,3.70555848904607,1.60280811726096,3.52253728164976,3.60527565226758,5.39977967436277,3.80957728330505,1.56547788173122,4.06653322644097,3.04802985617505,3.13604626963424,2.35005594267761,1.01959156718877,2.12521123266768,4.73479158341596,5.48340259945228,3.52968270282366,1.54259124145488,3.34384460568514
"P12_10",7.90564873154734,5.85962257259961,11.2236801182696,3.17857979728039,6.08896543642066,3.90084588182071,1.87156585593711,4.13172028845988,5.62666772608863,7.03319063174072,4.21666772290981,2.02172838717732,3.85446431785209,2.90299153748017,3.33676896776231,2.14364081935252,0.987389077421195,2.06862723023831,3.28489442318596,4.75216579421676,3.12685214023477,1.48041671659731,2.93716271608879,2.88349729165504,4.96379510013792,3.19070927892525,1.39726122627949,3.50482183918836,2.29280790201354,2.45563038099021,1.66895834641392,0.764025619219642,1.56781841772116,4.190452462187,5.31195704040399,3.02158177667186,1.4597558607008,2.96901931029606
