"","ser1","ser2","ser3","r5p1","r5p2","r5p3","r5p4","r5p5","IMP1","IMP2","IMP3","IMP4","IMP5","GMP1","GMP2","GMP3","GMP4","GMP5","INO1","INO2","INO3","INO4","INO5","GUO1","GUO2","GUO3","GUO4","GUO5","GDP1","GDP2","GDP3","GDP4","GDP5","AMP1","AMP2","AMP3","AMP4","AMP5"
"P17_1",17.1855534715519,2.85939768014521,2.18628591980426,1.61502453907342,3.51039227711239,2.63257095506542,1.5491811416292,5.21296079568771,2.34299825396589,3.6512885118784,2.65829060243713,1.55983743953469,5.14033861264804,1.35706983258418,2.81023621313261,2.11309556795142,1.22194574771972,4.12835400033528,1.71439281504992,3.42742656004913,2.54756933263886,1.51314721586729,5.05295809284317,1.58926747835772,3.45693179115046,2.59131885226162,1.52728788978688,5.13663791337729,1.14060824387757,2.35358728789982,1.77142501893433,1.02068138675896,3.45238676902898,1.74102958689188,2.88656660864925,2.09253142538137,1.27206190554442,4.16218062839805
"P17_2",17.3214264738276,2.95932066453223,2.31559342831168,1.63185637808047,3.58565298204372,2.73242746175804,1.68860722083312,5.49364349863878,2.54298187319044,3.79326092014541,2.77739288113018,1.69837131036624,5.37710169502165,1.47074695146459,2.89757579571611,2.20248336899411,1.34088654486618,4.34541304845213,1.91907455020748,3.55301954623557,2.65205204334956,1.64093468833346,5.27358567747403,1.64409536932074,3.52959237277746,2.67838138109842,1.65415200849001,5.3780899214789,1.22602436867508,2.41370216476394,1.83645190831004,1.11587091345387,3.62114144832169,1.86034407310502,2.9771826632931,2.16776645318667,1.36320309928554,4.32116731576109
"P17_3",17.325065621786,3.94214629401939,2.9852774421425,1.82841821345123,3.67959311225201,2.99603772318912,1.90597932712794,5.82577529304027,3.50123694628505,4.13999895039073,3.11307883464328,1.92203197970804,5.57022542526058,1.98637353680542,3.14878375019068,2.51551766686263,1.57438534121021,4.71088797083392,2.66328439916563,3.75997137479173,2.89738243949067,1.81368184761004,5.38389982918679,1.95395880289262,3.61920294414072,2.90666626340673,1.83874178643811,5.60360877797336,1.653186947048,2.62004436584235,2.09760779427512,1.31183552600132,3.93426889689274,2.42525936847382,3.07230137761971,2.29356652968723,1.43962236279784,4.23186604347513
"P17_4",17.4918964851044,3.45007218917397,2.72398893229998,1.72673960163544,3.70718989929202,2.95155311091168,1.94747385084281,5.97787928081179,3.15562958796504,4.09715697809149,3.04909863745011,1.9582363001851,5.75326946259891,1.81371537156795,3.10994253476421,2.43989816089425,1.58569572175172,4.78410351535712,2.46305568210647,3.78650526010361,2.87362293419266,1.86940963729699,5.60045753169625,1.83157313600897,3.64912243245791,2.87013511452347,1.8857115629445,5.77590389269661,1.50850300303096,2.58873677728996,2.03454288047502,1.32135189706533,3.99530213561525,2.2197762277049,3.11937031980658,2.30344628265915,1.50618391922125,4.48894904857787
"P17_5",17.0072730541424,3.15500749210901,2.30410434159028,1.67908728995149,3.44330587690849,2.61114378022763,1.46426768926598,4.99892939976892,2.50318869575561,3.60862199579098,2.64299483591898,1.47809094668744,4.92122198619832,1.42049631564613,2.77521578026777,2.1112415396817,1.15957661536495,3.97927106180458,1.77991732725183,3.34860493908345,2.51427668806034,1.42415331307959,4.82000849267333,1.65141102540221,3.387474662804,2.56773739457363,1.44196094838143,4.92032117244354,1.19755788871725,2.32660373239123,1.77248943698349,0.967875368989363,3.32771870980446,1.82921507270538,2.79808283739902,2.04036928425116,1.18543419060123,3.91556056412855
"P17_6",17.1358008240697,2.94189339661604,2.21916546143426,1.63290250630891,3.49167050122307,2.62659128162885,1.52548437715383,5.15323113639029,2.3876881640992,3.63942217620726,2.65404061286526,1.53702704060388,5.07918727892005,1.37368152822447,2.79677842696967,2.11001951671705,1.20253081431103,4.08049351914039,1.73266629545034,3.40540414012482,2.53825911298778,1.4882960278607,4.98789828895331,1.60640650590546,3.43684283909908,2.58424557614539,1.50309361708837,5.07507606968395,1.1551331981457,2.34117040931528,1.7683509207303,1.00323589002519,3.40920729068459,1.76562787090328,2.86189901126437,2.07798526609744,1.2478863845767,4.09334769813228
"P17_7",17.1358777005994,2.94176592632601,2.21911465679995,1.6328748817271,3.49169942963663,2.62660052126867,1.52552099279364,5.15332342914584,2.38764318137248,3.63918475130093,2.65391540478426,1.53703195267829,5.07923301418482,1.37409557445943,2.80002357505331,2.11210995508582,1.20462070274313,4.0866708192633,1.73264614056045,3.4054104858027,2.53826282752694,1.48834066252512,4.98802641807937,1.60644140931829,3.43737391471265,2.58458185100982,1.50344876369056,5.07611622480482,1.15528375652801,2.34509870701602,1.77077514712755,1.00596901591479,3.41710497850247,1.76559102461095,2.86172920327063,2.07789711362874,1.24789738701145,4.09340378307846
"P17_8",16.961034939375,3.23167570172261,2.33466126863485,1.69570235553444,3.42590660941162,2.60558651160729,1.44224486694642,4.94341905044329,2.5447452421399,3.59706839358244,2.63876884659866,1.45682503288182,4.86426824771497,1.43568351937495,2.76567159245444,2.11010352345748,1.1438106048123,3.94120233525068,1.79690311273012,3.32805595896444,2.50558386135996,1.40105789689895,4.7595606743897,1.6672948645442,3.36926570639432,2.56143485051486,1.41982589033089,4.86409922502906,1.20988510182123,2.3180702212985,1.77110035565032,0.954506698726876,3.29519813340319,1.85205097975953,2.77472042718757,2.02661189580517,1.16290529750873,3.85145806375335
"P17_9",17.1390407344787,3.33962773055319,2.48860004183578,1.71311911277243,3.52280145913646,2.73051161529379,1.61963189591925,5.30284011911792,2.78409289213705,3.77513944688239,2.78707817880017,1.63289292270707,5.16950667286765,1.57433305905977,2.88181234766305,2.22501229432722,1.29751796113735,4.22845567895361,2.04639773859061,3.48696322618916,2.63612368422171,1.5638249979873,5.04471744427913,1.73124533460686,3.46292552221428,2.6703585046528,1.58150929947067,5.17503649959202,1.31374314748011,2.40225919227079,1.85698390332027,1.07917267572505,3.52483642994332,1.99524963963666,2.89160860236163,2.12253681499733,1.2804876644632,4.06175760272602
"P17_10",16.9256029488312,3.29042609177862,2.35807685890138,1.70843438082529,3.41257365488873,2.60132800993187,1.4253689100416,4.90088180206535,2.5765890158357,3.58832772367108,2.6355907451122,1.44054445506052,4.82065565349779,1.4484298432338,2.76095865710878,2.11113903369299,1.13294754838224,3.91602819929829,1.80992451452419,3.31234608287591,2.4989442162908,1.38336890938407,4.71326421924482,1.67962973828733,3.35570628115509,2.55689431181177,1.40304920614513,4.82162463213007,1.22104922740894,2.31542869543948,1.77291314162367,0.946056100308155,3.27620511274475,1.86955990711597,2.756916165544,2.01612449560343,1.14565698849114,3.802373144144
