,ser1,ser2,ser3,r5p1,r5p2,r5p3,r5p4,r5p5,IMP1,IMP2,IMP3,IMP4,IMP5,GMP1,GMP2,GMP3,GMP4,GMP5,INO1,INO2,INO3,INO4,INO5,GUO1,GUO2,GUO3,GUO4,GUO5,GDP1,GDP2,GDP3,GDP4,GDP5,AMP1,AMP2,AMP3,AMP4,AMP5
P2_76,15.98959808,6.102507181,2.376682101,1.929894672,6.758752413,7.360651585,2.045647794,4.505195228,1.921872009,1.302974926,1.174560201,0.460620873,0.694056208,1.164558524,3.152452687,3.194305611,1.008496273,2.042280969,0.590634005,1.272163021,1.290791201,0.536835114,0.932590617,1.2778606,3.903756071,4.233430198,1.245267603,2.542441047,0.654924541,1.520217354,1.314081088,0.553667397,1.044267298,0.349244062,0.226634292,0.215690671,0.085180813,0.111820012
P2_77,16.4306173,5.953916475,3.020034608,1.736553765,6.55676436,6.894219524,1.913321172,4.529629667,2.192175143,1.556211783,1.37054271,0.509491195,0.831874884,1.204611213,3.019871346,2.99364217,0.903727814,2.069414107,0.614808374,1.421307763,1.476024172,0.610721233,1.049594431,1.108301813,3.217701162,3.37753387,0.964397998,2.149797611,0.795757563,1.742658708,1.546402548,0.572817272,1.26488965,0.3744022,0.247041936,0.236175002,0.093967772,0.134598947
P2_78,15.85752943,5.287672438,4.334414926,2.360128866,6.335592296,5.980482759,2.477759482,4.186869075,2.166260316,2.006507777,1.627520311,0.784635215,1.056336846,1.763144249,3.850794827,3.329275444,1.530726073,2.525661568,1.251021253,2.736018075,2.384524101,1.185980425,1.859348705,1.369922977,3.717441089,3.324513478,1.481407654,2.314263549,1.436809114,2.884105791,2.311968799,1.200128458,1.954755658,0.517414384,0.625696001,0.508993504,0.233377399,0.347895675
P2_79,15.51984965,5.144305058,2.531462423,1.930805087,6.923753879,5.790043641,2.022457854,4.795240169,2.08335062,1.551068591,1.099204008,0.469828959,0.807683319,1.438878012,3.836636646,2.965136398,1.257475505,2.667149196,0.733712231,1.787550226,1.085899088,0.660649694,1.324927008,1.139969357,3.822498392,3.151893922,1.264275266,2.486862669,1.089005573,2.603066063,1.689695922,0.908975231,1.914343093,0.368428262,0.301599204,0.235440572,0.116638966,0.151356097
P2_80,15.86791622,4.460563795,2.389242374,2.44484865,6.80120485,5.67628497,1.818024745,5.060120056,2.395949642,1.75558371,1.258700978,0.481947312,0.984050201,1.917250093,3.963688192,3.132517871,1.194998634,3.005329905,0.965574257,1.873639544,1.299189753,0.632261124,1.499653624,1.215554836,3.384827401,2.850567776,0.977386533,2.277019777,1.605952294,2.980711908,2.149040419,0.932705435,2.390019278,0.271221476,0.244011085,0.180990258,0.090973059,0.122175611
P2_81,16.61806097,5.951151068,5.102607701,2.801453749,6.377864352,6.743108174,2.275175274,4.428976143,2.445654278,2.181160764,2.011942991,0.806202547,1.233400349,1.972080501,3.500136178,3.378906893,1.23496583,2.360746557,1.41829353,2.645724104,2.652898922,1.090032027,1.889169167,1.848007759,3.690684067,3.762414277,1.263596439,2.537296514,1.558332518,2.562908444,2.315945607,0.945634181,1.773263725,0.553232904,0.616090998,0.559857497,0.221536287,0.361384581
P2_82,16.13005793,5.487359725,3.154330052,1.8265491,6.735748256,6.001223433,1.765960141,4.89424192,2.349413492,1.81837103,1.401932719,0.513392511,0.997489719,1.385697962,3.296932414,2.693844981,0.92872106,2.366021866,0.7255236,1.716906322,1.364591597,0.669973233,1.311482973,1.143767299,3.376862912,2.972259772,0.993113683,2.401073714,0.99807915,2.251091152,1.613132023,0.678125511,1.689258452,0.219305624,0.190158094,0.14698118,0.072925403,0.094505923
P2_83,16.46768465,5.773714911,3.04754005,1.608786831,6.432301965,6.607101421,1.997813465,4.453405291,2.170147108,1.670730826,1.409529024,0.577276522,0.896136451,1.160335715,3.029519708,2.88492366,0.969130316,2.068546599,0.665711295,1.700969368,1.665367819,0.758258076,1.205164075,1.014362738,3.139365779,3.166262892,1.015752236,2.097616578,0.773162177,1.857656706,1.581710748,0.655460661,1.32936296,0.36514677,0.296862556,0.24751622,0.115387968,0.160492229
P2_84,15.88477589,5.909513149,3.328527002,1.743497224,6.336656242,6.284593856,2.099662521,4.382666485,2.103642821,1.440412031,1.237255668,0.489962057,0.744504054,1.252625202,3.21514583,2.912731252,1.134277003,2.182872317,0.697558966,1.652532534,1.558881413,0.755431681,1.226367523,1.137528063,3.419802206,3.272612956,1.221197773,2.274000817,0.882843505,2.05909064,1.656782697,0.792556678,1.471199763,0.283292743,0.180706902,0.167580224,0.069181618,0.09332382
P2_85,15.77174927,6.279247568,3.49569003,1.983395923,6.549405221,6.185622355,2.287461438,4.492564352,1.611646875,1.196166701,0.96478792,0.440446062,0.589683015,1.316923786,3.525395482,2.973911177,1.298569989,2.416767719,0.858488284,2.010812006,1.545317344,0.888502639,1.491084554,1.32845871,4.045686503,3.65831188,1.457912133,2.716700338,0.938470122,2.231034472,1.539951436,0.913166361,1.633101525,0.253746778,0.210682733,0.164742057,0.079430006,0.099337741
