,ser1,ser2,ser3,r5p1,r5p2,r5p3,r5p4,r5p5,IMP1,IMP2,IMP3,IMP4,IMP5,GMP1,GMP2,GMP3,GMP4,GMP5,INO1,INO2,INO3,INO4,INO5,GUO1,GUO2,GUO3,GUO4,GUO5,GDP1,GDP2,GDP3,GDP4,GDP5,AMP1,AMP2,AMP3,AMP4,AMP5
P4_50,12.15825278,3.873287451,4.916487372,2.397411978,4.158672185,2.541171391,2.576187664,5.627246502,2.129522914,3.027323255,1.872227998,1.725091698,3.647232278,2.120453983,3.227118122,1.926998928,1.999831128,4.188515619,1.867315856,3.039662806,1.845342763,1.824719296,4.047328556,2.275479238,3.867512314,2.35288436,2.389399338,5.198326676,1.655291898,2.477264108,1.448127525,1.59510556,3.282641011,1.186397961,1.6697718,1.061899732,0.929123382,1.914848228
P4_51,12.05049274,3.916546411,4.589240101,1.437301291,4.799645115,2.873374356,2.522359997,6.005283405,2.385384413,4.67884951,2.741117225,2.318673373,5.450847773,1.753816979,4.397051218,2.675595816,2.272232434,5.346601819,1.142885413,2.811646488,1.672517259,1.514345593,3.474630355,1.457152374,4.643559306,2.782901771,2.423489724,5.780417494,1.118676238,2.871531362,1.686858956,1.538083675,3.613664222,1.630241847,3.224409471,2.033690805,1.541498671,3.699019192
P4_52,11.32343918,3.823810468,5.03555631,1.889647939,5.370075855,3.984047075,2.249885438,6.085242016,2.551241468,5.222440107,3.785672896,2.189099216,5.651437649,2.041596974,5.079385187,3.817700317,2.106149528,5.654131886,1.514457926,3.570151868,2.726251643,1.478208091,3.923690101,1.934604607,5.225248023,3.866007342,2.186182122,5.897196871,1.31221918,3.606006738,2.463202301,1.506267771,4.117514806,1.876921435,3.746205645,2.801331486,1.563310305,4.006537888
P4_53,10.96929862,4.472961729,6.014604596,2.868317382,5.906604885,5.661736303,2.525323202,5.884511572,3.733273306,5.247728968,4.926040001,2.20805608,4.796252213,2.941897335,5.26209493,5.05730816,2.250247295,5.244280326,1.939150164,3.534102526,3.276869404,1.563687718,3.209704314,2.890087299,5.488695163,5.36739447,2.347212576,5.531580894,1.747694687,3.310012595,3.070660087,1.448790042,3.132932846,2.467334429,3.511506621,3.417686197,1.507292621,3.307278653
P4_54,11.49851329,4.034422611,4.247255085,2.84532304,4.562799956,2.50980025,2.777958018,6.353802735,2.473435533,3.222134048,1.864093331,1.88030685,4.207646405,2.556523633,3.886325553,2.175490664,2.333005357,5.299208913,1.998007108,2.953376101,1.529372353,1.8455633,4.060071915,2.650983458,4.201538293,2.286902574,2.584475118,5.866538852,1.9636542,2.899859456,1.600082156,1.765967796,3.941271939,1.355859031,1.931376285,1.203646886,1.126056611,2.528513491
P4_55,12.43540532,4.187102349,4.960828635,2.918417356,4.482391941,3.816268059,2.619258757,5.841963913,3.406224078,4.24860449,3.545404766,2.359313256,5.126021448,2.988247127,4.177244685,3.543407874,2.393425274,5.289024047,1.844875476,2.267165259,1.768174929,1.404998179,2.708533015,2.925801624,4.366918844,3.717031657,2.525051324,5.632630582,1.898366533,2.510533931,2.114577431,1.502217946,3.087309154,2.347409899,2.977893616,2.47315144,1.633314208,3.514298917
P4_56,11.8680934,4.507183919,4.762052776,1.526877479,5.267567824,3.654721361,2.524699036,5.689581124,4.110613436,5.532900029,3.602600996,2.401539578,5.08739697,2.581883694,5.11806399,3.534969209,2.362695818,5.16824834,1.651363755,2.843490577,1.896206565,1.383244457,2.911624079,1.645755169,5.18413699,3.579088789,2.464391561,5.537293454,1.600641622,3.17956078,2.091990592,1.529735092,3.302709886,2.883349687,3.91284172,2.581125841,1.669912527,3.605545505
P4_57,12.3185536,3.200586489,5.715954003,1.925975884,4.567498778,3.320861308,2.222054553,5.223185815,3.359229877,4.678171082,3.219223801,2.163640834,4.784213712,2.369274907,4.271057421,3.052846737,2.064683853,4.674918787,1.666059402,2.760023055,1.955891,1.317335992,2.991171447,2.014351113,4.482893833,3.250674754,2.168870566,5.076716392,1.759000456,3.143859673,2.123767286,1.584539872,3.486684407,2.283971337,3.128092121,2.260474503,1.45945751,3.153352269
P4_58,13.41877007,4.029487164,6.915543398,2.718632354,5.062651028,4.664856726,2.536542858,5.513757164,4.296224339,5.312436628,4.613778397,2.499552859,5.163254674,3.353526879,5.019556097,4.525069379,2.439595576,5.210719872,2.410086569,3.460439315,3.147990017,1.710785978,3.556606253,2.898152057,5.001121431,4.56195448,2.479419194,5.352993677,1.954686656,2.904698134,2.546439974,1.462987075,2.975719649,3.183210566,3.971747789,3.451222842,1.867716418,3.869383834
P4_59,13.53774779,4.500413346,4.869449129,2.270919377,4.817585119,3.999455179,2.617569679,5.167133561,2.607353234,3.277150016,2.348009926,1.930228047,3.68174912,2.245528574,3.825438756,2.989164574,2.206478161,4.306984123,1.630529013,2.786044038,2.04854309,1.716803959,3.23759866,2.214363242,4.129452751,3.318192444,2.345630137,4.601153619,1.349604809,2.313810961,1.75912703,1.411499323,2.585566248,1.72714923,2.102453347,1.56610989,1.249705526,2.404623493
