MID	mean
DN0	65.33531042
DN1	19.44243924
DN2	4.208057516
DN3	7.87273124
DN4	1.935861334
DN5	1.229140411
R5P0	83.59
R5P1	2.93
R5P2	2.913333333
R5P3	9.186666667
R5P4	0
R5P5	1.383333333
IMP0	95.29333333
IMP1	1.546666667
IMP2	0.486666667
IMP3	0.88
IMP4	0.873333333
IMP5	0.72
GMP0	98.76
GMP1	0.69
GMP2	0.203333333
GMP3	0
GMP4	0
GMP5	0
INO0	99.06666667
INO1	0
INO2	0.276666667
INO3	0.256666667
INO4	0.173333333
INO5	0.223333333
GUO0	99.3
GUO1	0.343333333
GUO2	0.35
GUO3	0
GUO4	0
GUO5	0
GDP0	95.88333333
GDP1	1.12
GDP2	1.093333333
GDP3	0.783333333
GDP4	0.633333333
GDP5	0.483333333
AMP0	99.31
AMP1	0
AMP2	0.17
AMP3	0.203333333
AMP4	0.15
AMP5	0.153333333
