MID	mean
DN0	66.77929123
DN1	23.85313323
DN2	8.08813138
DN3	2.771899208
DN4	0.464220872
DN5	0.037329564
R5P0	89.35
R5P1	2.425
R5P2	7.1
R5P3	1.125
R5P4	0
R5P5	0
IMP0	95.68666667
IMP1	0.966666667
IMP2	3.346666667
IMP3	0
IMP4	0
IMP5	0
GMP0	99.44666667
GMP1	0.493333333
GMP2	0.063333333
GMP3	0
GMP4	0
GMP5	0
INO0	98.75333333
INO1	0.34
INO2	0.44
INO3	0.163333333
INO4	0.196666667
INO5	0.113333333
GUO0	97.91666667
GUO1	1.81
GUO2	0.273333333
GUO3	0
GUO4	0
GUO5	0
GDP0	96.73
GDP1	1.14
GDP2	1.556666667
GDP3	0.576666667
GDP4	0
GDP5	0
AMP0	98.84666667
AMP1	0.68
AMP2	0.246666667
AMP3	0.11
AMP4	0.053333333
AMP5	0.06
