MID	mean
DN0	82.64134187
DN1	12.7146321
DN2	1.643820178
DN3	2.677080749
DN4	0.354632959
DN5	0.023503421
R5P0	94.72666667
R5P1	1.583333333
R5P2	0.8
R5P3	2.893333333
R5P4	0
R5P5	0
IMP0	93.70666667
IMP1	0
IMP2	2.996666667
IMP3	2.806666667
IMP4	0
IMP5	0.49
GMP0	96.93666667
GMP1	1.506666667
GMP2	0.61
GMP3	0.366666667
GMP4	0
GMP5	0
INO0	99.27666667
INO1	0
INO2	0.27
INO3	0.29
INO4	0
INO5	0.166666667
GUO0	98.27
GUO1	0.66
GUO2	0.383333333
GUO3	0.416666667
GUO4	0.27
GUO5	0
GDP0	94.18333333
GDP1	2.81
GDP2	1.866666667
GDP3	1.14
GDP4	0
GDP5	0
AMP0	97.33333333
AMP1	1.173333333
AMP2	0.483333333
AMP3	0.543333333
AMP4	0.266666667
AMP5	0.153333333
