MID	mean
DN0	76.22921927
DN1	13.05351969
DN2	4.095398198
DN3	4.330773662
DN4	0.934900959
DN5	1.588555847
R5P0	89.54666667
R5P1	0.696666667
R5P2	3.296666667
R5P3	4.406666667
R5P4	0.32
R5P5	1.74
IMP0	99.22666667
IMP1	0
IMP2	0.08
IMP3	0.42
IMP4	0.063333333
IMP5	0.176666667
GMP0	99.61
GMP1	0
GMP2	0
GMP3	0.146666667
GMP4	0.116666667
GMP5	0.123333333
INO0	99.40666667
INO1	0
INO2	0
INO3	0.29
INO4	0.14
INO5	0.156666667
GUO0	99.33666667
GUO1	0
GUO2	0.1
GUO3	0.29
GUO4	0.13
GUO5	0.146666667
GDP0	99.25
GDP1	0
GDP2	0.166666667
GDP3	0.343333333
GDP4	0.05
GDP5	0.193333333
AMP0	99.5
AMP1	0
AMP2	0
AMP3	0.233333333
AMP4	0.12
AMP5	0.133333333
