MID	mean
DN0	79.90110535
DN1	13.11593911
DN2	5.077021932
DN3	1.761327845
DN4	0.218875729
DN5	0.022537868
R5P0	92.40333333
R5P1	2.176666667
R5P2	4.13
R5P3	1.29
R5P4	0
R5P5	0
IMP0	94.63
IMP1	0
IMP2	3.15
IMP3	2.22
IMP4	0
IMP5	0
GMP0	95.71666667
GMP1	3.583333333
GMP2	0.7
GMP3	0
GMP4	0
GMP5	0
INO0	98.77
INO1	0.163333333
INO2	0.37
INO3	0.37
INO4	0.086666667
INO5	0.24
GUO0	97.71666667
GUO1	0.266666667
GUO2	0.863333333
GUO3	0.696666667
GUO4	0.146666667
GUO5	0.313333333
GDP0	96.18333333
GDP1	2.703333333
GDP2	1.11
GDP3	0
GDP4	0
GDP5	0
AMP0	99.2
AMP1	0.345
AMP2	0.45
AMP3	0
AMP4	0
AMP5	0
