MID	mean
DN0	64.64765343
DN1	19.20361035
DN2	13.88498952
DN3	2.732941755
DN4	0.202128545
DN5	0.011530543
R5P0	79.51
R5P1	6.063333333
R5P2	14.42333333
R5P3	0
R5P4	0
R5P5	0
IMP0	96.43666667
IMP1	0.53
IMP2	2.316666667
IMP3	0.64
IMP4	0
IMP5	0.073333333
GMP0	98.17
GMP1	1.65
GMP2	0.18
GMP3	0
GMP4	0
GMP5	0
INO0	96.25
INO1	1.163333333
INO2	0.26
INO3	0.5
INO4	1.826666667
INO5	0
GUO0	94.56
GUO1	5.44
GUO2	0
GUO3	0
GUO4	0
GUO5	0
GDP0	97.22666667
GDP1	1.726666667
GDP2	0.903333333
GDP3	0.143333333
GDP4	0
GDP5	0
AMP0	98.62
AMP1	0.93
AMP2	0.185
AMP3	0.115
AMP4	0.105
AMP5	0.055
