MID	mean
DN0	71.25878742
DN1	16.73618645
DN2	4.003677932
DN3	4.50910575
DN4	0.861738666
DN5	2.098461175
R5P0	87.6
R5P1	2.306666667
R5P2	2.816666667
R5P3	4.783333333
R5P4	0
R5P5	2.486666667
IMP0	95.95333333
IMP1	1.483333333
IMP2	0.983333333
IMP3	1.58
IMP4	0
IMP5	0
GMP0	94.26666667
GMP1	2.323333333
GMP2	1.676666667
GMP3	1.136666667
GMP4	0.303333333
GMP5	0.293333333
INO0	96.15333333
INO1	0.62
INO2	1.293333333
INO3	1.116666667
INO4	0.386666667
INO5	0.43
GUO0	92.70666667
GUO1	1.876666667
GUO2	1.93
GUO3	1.853333333
GUO4	0.503333333
GUO5	1.13
GDP0	92.4
GDP1	2.295
GDP2	2.23
GDP3	2.02
GDP4	0.39
GDP5	0.67
AMP0	95.85333333
AMP1	1.753333333
AMP2	1.093333333
AMP3	0.653333333
AMP4	0.306666667
AMP5	0.346666667
