MID	mean
DN0	60.03785189
DN1	23.61975883
DN2	7.299431583
DN3	6.694098312
DN4	2.075632404
DN5	0.246136336
R5P0	82.03
R5P1	4.976666667
R5P2	5.683333333
R5P3	6.993333333
R5P4	0.313333333
R5P5	0
IMP0	89.86
IMP1	2.93
IMP2	1.8
IMP3	2.033333333
IMP4	1.746666667
IMP5	1.466666667
GMP0	97.44
GMP1	1.423333333
GMP2	0.483333333
GMP3	0.313333333
GMP4	0.23
GMP5	0.113333333
INO0	99.11
INO1	0
INO2	0.24
INO3	0.283333333
INO4	0.173333333
INO5	0.19
GUO0	98.31
GUO1	0.123333333
GUO2	0.516666667
GUO3	0.463333333
GUO4	0.366666667
GUO5	0.216666667
GDP0	94.96
GDP1	1.96
GDP2	1.016666667
GDP3	1.056666667
GDP4	0.533333333
GDP5	0.47
AMP0	99.11333333
AMP1	0.116666667
AMP2	0.193333333
AMP3	0.226666667
AMP4	0.17
AMP5	0.153333333
