epoch: 01, loss1: 0.00147777, loss2: 0.30780801, loss3: 213.20353699, loss4: 0.00024117, , loss5: 0.00000041, loss: 213.51306152, lr: 0.00800000. 
epoch: 02, loss1: 0.00341026, loss2: 0.01022694, loss3: 211.36851501, loss4: 0.00010022, , loss5: 0.00000013, loss: 211.38226318, lr: 0.00800000. 
epoch: 03, loss1: 0.00754790, loss2: 0.00001403, loss3: 209.23735046, loss4: 0.00007209, , loss5: 0.00000003, loss: 209.24499512, lr: 0.00800000. 
epoch: 04, loss1: 0.01527849, loss2: 0.00000004, loss3: 206.59219360, loss4: 0.00013895, , loss5: 0.00000006, loss: 206.60760498, lr: 0.00800000. 
epoch: 05, loss1: 0.02869561, loss2: 0.00000000, loss3: 203.24188232, loss4: 0.00038561, , loss5: 0.00000038, loss: 203.27096558, lr: 0.00800000. 
epoch: 06, loss1: 0.05089706, loss2: 0.00000000, loss3: 199.00675964, loss4: 0.00101739, , loss5: 0.00000137, loss: 199.05868530, lr: 0.00800000. 
epoch: 07, loss1: 0.08616778, loss2: 0.00000000, loss3: 193.71472168, loss4: 0.00243400, , loss5: 0.00000383, loss: 193.80332947, lr: 0.00800000. 
epoch: 08, loss1: 0.14020151, loss2: 0.00000000, loss3: 187.20675659, loss4: 0.00535380, , loss5: 0.00000924, loss: 187.35232544, lr: 0.00800000. 
epoch: 09, loss1: 0.22039807, loss2: 0.00000000, loss3: 179.34544373, loss4: 0.01099008, , loss5: 0.00002019, loss: 179.57684326, lr: 0.00800000. 
epoch: 10, loss1: 0.33615717, loss2: 0.00000000, loss3: 170.02590942, loss4: 0.02129273, , loss5: 0.00004091, loss: 170.38339233, lr: 0.00800000. 
epoch: 11, loss1: 0.49908119, loss2: 0.00000000, loss3: 159.18887329, loss4: 0.03928402, , loss5: 0.00007815, loss: 159.72732544, lr: 0.00800000. 
epoch: 12, loss1: 0.72308606, loss2: 0.00000000, loss3: 146.83949280, loss4: 0.06950758, , loss5: 0.00014226, loss: 147.63221741, lr: 0.00800000. 
epoch: 13, loss1: 1.02433026, loss2: 0.00000000, loss3: 133.07199097, loss4: 0.11861214, , loss5: 0.00024866, loss: 134.21517944, lr: 0.00800000. 
epoch: 14, loss1: 1.42073107, loss2: 0.00000000, loss3: 118.09982300, loss4: 0.19609755, , loss5: 0.00041987, loss: 119.71707153, lr: 0.00800000. 
epoch: 15, loss1: 1.93060327, loss2: 0.00000000, loss3: 102.29100037, loss4: 0.31525600, , loss5: 0.00068799, loss: 104.53754425, lr: 0.00800000. 
epoch: 16, loss1: 2.56943059, loss2: 0.00000000, loss3: 86.20700073, loss4: 0.49435353, , loss5: 0.00109797, loss: 89.27188110, lr: 0.00800000. 
epoch: 17, loss1: 3.34250975, loss2: 0.00000000, loss3: 70.64030457, loss4: 0.75813150, , loss5: 0.00171197, loss: 74.74265289, lr: 0.00800000. 
